distanceFactor,meanTemp,meanTempSD,yield,yieldSD
1.013888889,929.67,20.702,0.07511,0.018276
1.216666667,933.73,17.874,0.078407,0.016848
1.419444444,938.29,15.39,0.082697,0.014907
1.622222222,942.4,13.107,0.086564,0.013114
1.825,946.01,11.365,0.089982,0.011797
1.925,947.9,10.561,0.091785,0.011231
2.027777778,949.61,9.8413,0.093617,0.010743
2.230555556,952.51,8.5578,0.09683,0.0098364
2.433333333,954.81,7.4134,0.099478,0.0089575
2.838888889,958.03,5.3183,0.10342,0.0069506
3.244444444,958.94,2.9875,0.10451,0.0040775
3.447222222,957.63,4.111,0.10273,0.0056108
