ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
85;0.005;0.063;901;974;820;5947
86;0.005;0.063;909;968;852;6240
87;0.005;0.063;913;968;870;6406
88;0.005;0.063;916;969;881;6526
89;0.005;0.063;918;973;888;6620
90;0.005;0.063;919;975;890;6660
91;0.005;0.063;919;977;891;6696
92;0.005;0.063;920;983;891;6758
93;0.005;0.063;921;991;890;6809
94;0.005;0.063;922;1008;886;6879
95;0.005;0.063;922;1029;880;6907
98;0.01;0.063;960;1020;888;9183
99;0.01;0.063;967;1018;913;9502
100;0.01;0.063;972;1018;929;9738
101;0.01;0.063;975;1020;940;9929
102;0.01;0.063;977;1022;944;10012
103;0.01;0.063;978;1024;948;10088
104;0.01;0.063;980;1029;953;10227
105;0.01;0.063;982;1035;953;10347
106;0.01;0.063;985;1051;952;10527
107;0.01;0.063;986;1072;949;10636
108;0.01;0.063;979;1089;935;10212
110;0.015;0.063;998;1067;914;11558
111;0.015;0.063;1007;1063;945;12019
112;0.015;0.063;1013;1062;963;12358
113;0.015;0.063;1018;1061;976;12629
114;0.015;0.063;1020;1061;982;12748
115;0.015;0.063;1021;1062;986;12861
116;0.015;0.063;1025;1065;994;13065
117;0.015;0.063;1027;1071;998;13245
118;0.015;0.063;1032;1084;999;13531
119;0.015;0.063;1037;1120;1000;13916
120;0.015;0.063;1021;1110;977;12843
132;0.02;0.063;1052;1128;1001;14899
140;0.025;0.063;1045;1093;1007;14449
142;0.025;0.063;1058;1113;1013;15318
143;0.025;0.063;1065;1133;1012;15793
144;0.025;0.063;1120;1197;1077;19583
145;0.03;0.063;981;1088;860;10785
146;0.03;0.063;1010;1096;923;12331
147;0.03;0.063;1026;1100;959;13285
148;0.03;0.063;1036;1103;981;13880
149;0.03;0.063;1044;1105;996;14397
150;0.03;0.063;1048;1107;1005;14675
151;0.03;0.063;1051;1108;1012;14882
152;0.03;0.063;1058;1111;1020;15348
153;0.03;0.063;1065;1112;1025;15795
154;0.03;0.063;1074;1123;1029;16439
155;0.03;0.063;1081;1144;1026;16890
156;0.03;0.063;1082;1152;1025;16979
157;0.035;0.063;987;1098;864;11177
158;0.035;0.063;1018;1106;930;12846
159;0.035;0.063;1035;1110;967;13850
160;0.035;0.063;1044;1111;987;14385
161;0.035;0.063;1054;1116;1005;15045
162;0.035;0.063;1059;1120;1014;15378
163;0.035;0.063;1062;1121;1021;15602
164;0.035;0.063;1069;1125;1032;16098
165;0.035;0.063;1075;1126;1036;16506
166;0.035;0.063;1087;1138;1040;17313
167;0.035;0.063;1094;1152;1037;17786
168;0.035;0.063;1097;1161;1037;17976
